Code,Alt(m),BD(g/cm^3),Ergostel(ug/gDW),LOI(%),pH,TotalN(%),TotalC(%),%C(OM),OM:N,C:N
BAG1,144.62,1.028,1.833,6.93%,5.20,0.325,7.30,3.40%,21.329,10.457
BAG10,151.83,0.954,3.586,7.97%,4.65,0.356,9.10,3.91%,22.384,10.975
BAG3,148.38,0.943,4.451,6.60%,4.83,0.370,9.43,3.24%,17.846,8.750
BAG5,151.25,1.061,3.974,7.31%,4.95,0.345,8.43,3.58%,21.189,10.389
BAG7,151.54,1.058,3.311,7.86%,4.94,0.333,8.42,3.86%,23.612,11.577
BBG1,373.01,NaN,NaN,6.97%,5.03,0.289,5.50,3.42%,24.111,11.822
BBG10,373.21,1.469,1.159,5.38%,5.09,0.251,4.04,2.64%,21.437,10.510
BBG2,370.50,1.610,2.613,7.24%,6.03,0.288,4.56,3.55%,25.124,12.318
BBG4,373.99,1.582,3.859,7.79%,4.37,0.346,8.72,3.82%,22.510,11.036
BBG6,378.66,1.344,0.513,6.17%,5.17,0.215,5.69,3.03%,28.701,14.072
CAG2,255.28,1.591,3.802,9.19%,5.01,0.455,13.17,4.50%,20.193,9.901
CAG4,259.40,1.673,2.340,6.65%,4.83,0.359,10.46,3.26%,18.532,9.086
CAG5,256.07,1.566,4.687,7.00%,5.22,0.366,9.44,3.43%,19.122,9.375
CAG7,253.13,1.373,1.150,8.01%,5.57,0.439,13.72,3.93%,18.247,8.946
CAG8,250.86,1.457,1.866,11.11%,5.63,0.512,13.29,5.45%,21.697,10.638
CDG1,362.16,1.366,3.093,11.28%,5.28,0.407,12.51,5.53%,27.708,13.585
CDG2,360.85,1.262,1.667,11.06%,5.59,0.436,12.90,5.42%,25.374,12.441
CDG3,360.45,1.355,5.564,13.06%,3.76,0.443,13.65,6.41%,29.489,14.459
CDG4,357.75,1.435,2.753,10.40%,5.30,0.423,12.81,5.10%,24.595,12.059
CDG5,352.62,1.389,2.018,10.29%,5.28,0.413,14.16,5.04%,24.913,12.215
CYG1,182.83,1.194,10.056,9.01%,5.39,0.423,11.80,4.42%,21.294,10.441
CYG3,179.93,1.075,7.462,10.45%,5.47,0.481,13.84,5.12%,21.721,10.650
CYG5,188.23,0.678,13.254,13.34%,5.13,0.524,12.87,6.54%,25.459,12.482
CYG7,190.65,1.413,6.265,9.50%,5.54,0.441,12.73,4.66%,21.545,10.564
CYG9,198.76,NaN,NaN,6.48%,NaN,NaN,NaN,3.17%,NaN,NaN
DNG1,164.46,1.316,2.520,20.32%,5.74,0.556,21.47,9.96%,36.542,17.916
DNG2,164.48,1.428,0.830,15.86%,6.29,0.474,20.10,7.77%,33.455,16.403
DNG3,164.36,1.288,2.610,14.52%,5.65,0.425,17.76,7.12%,34.168,16.753
DNG4,164.35,1.632,0.737,11.89%,4.56,0.396,16.26,5.83%,30.037,14.727
DNG5,172.00,1.141,2.520,4.35%,5.69,0.107,3.35,2.13%,40.692,19.951
GWG1,138.16,1.380,4.061,13.11%,4.65,0.469,15.82,6.43%,27.955,13.706
GWG3,137.58,1.388,1.554,13.50%,4.83,0.424,13.91,6.62%,31.840,15.611
GWG5,128.33,1.034,3.463,12.72%,5.38,0.486,13.48,6.24%,26.176,12.834
GWG7,126.25,1.628,1.382,11.43%,5.74,0.449,12.94,5.61%,25.467,12.487
GWG9,124.44,1.442,0.330,11.28%,4.72,0.387,13.93,5.53%,29.143,14.289
WIG1,187.11,1.099,1.830,6.60%,6.28,0.464,17.47,3.23%,14.215,6.970
WIG2,185.93,1.010,1.454,4.01%,6.15,0.358,13.97,1.97%,11.208,5.495
WIG3,174.14,0.982,6.055,6.43%,5.13,0.477,17.72,3.15%,13.482,6.610
WIG4,172.41,0.918,8.287,6.11%,4.73,0.438,16.43,3.00%,13.960,6.845
WIG5,170.30,0.925,5.208,5.51%,5.25,0.371,13.73,2.70%,14.843,7.277
BRIG1-1,367.00,0.860,7.356,15.28%,5.48,0.708,7.79,7.49%,21.585,10.583
BRIG1-2,367.00,0.860,11.554,13.21%,5.42,0.616,6.66,6.48%,21.447,10.516
BRIG1-3,367.00,0.860,7.383,15.48%,5.46,0.708,7.88,7.59%,21.869,10.722
BRIG3-1,367.00,0.830,8.956,15.61%,5.17,0.704,7.98,7.65%,22.173,10.872
BRIG3-2,367.00,0.830,11.196,13.25%,5.03,0.592,6.53,6.50%,22.383,10.974
BRIG3-3,367.00,0.830,9.783,12.34%,5.41,0.526,5.58,6.05%,23.454,11.499
BRIG4-1,367.00,0.920,10.361,14.38%,5.27,0.658,6.72,7.05%,21.851,10.713
BRIG4-2,367.00,0.920,21.244,15.51%,5.08,0.647,7.51,7.61%,23.974,11.754
BRIG4-3,367.00,0.920,19.912,15.65%,5.16,0.642,7.51,7.67%,24.377,11.952
BAW1,147.39,1.093,5.716,10.94%,5.54,0.496,11.22,5.36%,22.058,10.815
BAW2,152.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BAW4,145.24,1.019,6.573,8.50%,5.89,0.395,9.46,4.17%,21.511,10.547
BAW7,167.75,1.376,0.752,3.99%,5.74,0.187,4.35,1.96%,21.327,10.457
BAW9,167.09,1.221,5.610,6.47%,5.57,0.333,8.09,3.17%,19.415,9.519
BBW10,370.38,1.453,2.985,4.84%,5.78,0.211,3.54,2.37%,22.915,11.235
BBW2,377.58,1.521,6.184,8.45%,5.23,0.354,6.98,4.14%,23.875,11.706
BBW4,379.25,1.240,5.297,8.55%,4.34,0.398,8.07,4.19%,21.476,10.530
BBW6,378.18,1.108,4.541,4.70%,5.06,0.190,5.12,2.30%,24.743,12.132
BBW8,373.97,1.277,11.255,5.74%,5.30,0.242,4.82,2.81%,23.702,11.621
CAW2,244.37,1.463,9.450,10.60%,6.22,0.493,11.60,5.19%,21.491,10.537
CAW3,228.92,1.004,8.792,12.68%,5.79,0.531,17.50,6.22%,23.878,11.707
CAW4,229.96,1.058,1.880,8.75%,5.29,0.420,11.87,4.29%,20.827,10.211
CAW6,236.24,1.250,5.048,9.44%,5.20,0.502,13.92,4.63%,18.799,9.217
CAW7,239.12,1.675,4.438,10.28%,5.25,0.524,13.96,5.04%,19.625,9.622
CDCW1,287.13,1.387,10.474,10.60%,4.87,0.370,15.38,5.20%,28.661,14.053
CDCW2,289.07,1.415,4.386,8.37%,4.80,0.341,12.98,4.10%,24.545,12.035
CDCW3,289.88,1.058,4.788,10.58%,4.62,0.411,17.91,5.19%,25.735,12.618
CDCW4,291.81,1.361,1.527,10.84%,3.47,0.391,15.06,5.31%,27.720,13.591
CDCW5,291.84,1.424,6.478,11.13%,3.20,0.380,16.12,5.46%,29.297,14.364
CDDW1,278.28,1.218,3.893,14.51%,5.39,0.462,17.28,7.11%,31.398,15.394
CDDW2,282.35,1.235,NaN,10.89%,3.95,0.433,14.64,5.34%,25.155,12.334
CDDW3,284.17,1.201,2.879,11.49%,4.62,0.474,15.78,5.64%,24.250,11.890
CDDW5,276.28,1.153,4.265,12.93%,4.07,0.498,13.11,6.34%,25.969,12.733
CDDW9,277.62,1.025,5.602,9.89%,4.73,0.406,15.36,4.85%,24.350,11.939
CYW1,157.06,0.881,6.078,15.45%,5.11,0.490,14.93,7.57%,31.529,15.459
CYW3,153.87,0.842,18.649,14.79%,4.95,0.465,14.08,7.25%,31.800,15.591
CYW5,146.11,0.634,24.707,14.99%,5.82,0.497,15.17,7.35%,30.157,14.786
CYW7,142.88,1.146,7.548,15.11%,5.10,0.506,15.23,7.41%,29.854,14.637
